facility_key,facility_id,facility_name,city,country_name,longitude,latitude,first_year,latest_year,reporting_year_count,source_record_count,source_tables,distance_to_oder_hydro_boundary_m,distance_to_oder_hydro_boundary_km,distance_class,nearest_hydro_entity_type,nearest_hydro_source_layer,nearest_hydro_entity_id,nearest_hydro_entity_name,nearest_hydro_dfdd,nearest_hydro_rex,nearest_hydro_strahler,nearest_hydro_mc,nearest_hydro_basin_district,distance_to_major_river_line_m,distance_to_major_river_line_km,nearest_major_river_line_source_layer,nearest_major_river_line_id,nearest_major_river_line_name,distance_to_canal_line_m,distance_to_canal_line_km,nearest_canal_line_source_layer,nearest_canal_line_id,nearest_canal_line_name,distance_to_coastal_polygon_m,distance_to_coastal_polygon_km,nearest_coastal_polygon_source_layer,nearest_coastal_polygon_id,nearest_coastal_polygon_name,feature_ids,sector_codes,sector_names,annex_activities,pollutant_count,pollutants,latest_pollutants,air_release_total,water_release_total,pollutant_transfer_total,waste_transfer_total,waste_treatments,waste_classifications,lcp_feature_value_total,lcp_feature_types,lcp_units,ied_statuses,ied_activity_names,bat_conclusions,wi_cowi_capacity_total
CZ.CHMI.0004/CZ0004.PART,CZ.CHMI.0004/CZ0004.PART,TAMEH Czech s.r.o. - Teplarna spolecnosti - source A,Slezská Ostrava,Czechia,18.31420993055556,49.79442883888889,2016,2022,7,7,lcp_energy_emissions,7939.91268656066,7.94,1-10 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,7939.91268656066,7.94,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,14010.660670741698,14.011,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,130157.045861,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0005/CZ0005.PART,CZ.CHMI.0005/CZ0005.PART,TAMEH Czech s.r.o. - Teplarna spolecnosti - source B,Slezská Ostrava,Czechia,18.31420993055556,49.79442883888889,2016,2022,7,7,lcp_energy_emissions,7939.91268656066,7.94,1-10 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,7939.91268656066,7.94,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,14010.660670741698,14.011,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,109162.354765,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0018/CZ0018.PART,CZ.CHMI.0018/CZ0018.PART,"CEZ Energeticke sluzby, s.r.o. - Teplarna Vitkovice",Ostrava,Czechia,18.27328888888889,49.816002777777776,2016,2020,5,5,lcp_energy_emissions,4187.9562087229115,4.188,1-10 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,4187.9562087229115,4.188,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,10237.297254349944,10.237,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,25312.413737000003,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0026/CZ0026.PART,CZ.CHMI.0026/CZ0026.PART,"Veolia Energie CR, a.s. - Elektrarna Trebovice I",Třebovice,Czechia,18.210544444444444,49.83176111111111,2016,2022,7,7,lcp_energy_emissions,800.7970070545931,0.801,100 m - 1 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,800.7970070545931,0.801,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,6211.363404066602,6.211,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,68126.325939,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0027/CZ0027.PART,CZ.CHMI.0027/CZ0027.PART,"Veolia Energie CR, a.s. - Elektrarna Trebovice II",Třebovice,Czechia,18.210544444444444,49.83176111111111,2016,2022,7,7,lcp_energy_emissions,800.7970070545931,0.801,100 m - 1 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,800.7970070545931,0.801,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,6211.363404066602,6.211,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,54596.341101,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0028/CZ0028.PART,CZ.CHMI.0028/CZ0028.PART,"Veolia Energie CR, a.s. - Elektrarna Trebovice III",Třebovice,Czechia,18.210544444444444,49.83176111111111,2016,2022,7,7,lcp_energy_emissions,800.7970070545931,0.801,100 m - 1 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,800.7970070545931,0.801,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,6211.363404066602,6.211,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,103616.920109,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0038/CZ0038.PART,CZ.CHMI.0038/CZ0038.PART,"Veolia Energie CR, a.s. - Teplarna Privoz",Moravská Ostrava a Přívoz,Czechia,18.27635,49.86115,2016,2022,7,7,lcp_energy_emissions,510.88239992827545,0.511,100 m - 1 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,510.88239992827545,0.511,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,7662.695203849362,7.663,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,83887.387539,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.CHMI.0047/CZ0047.PART,CZ.CHMI.0047/CZ0047.PART,"CEZ, a.s. - Elektrarna Detmarovice",Dětmarovice,Czechia,18.46560277777778,49.90636666666666,2016,2022,7,7,lcp_energy_emissions,8780.110674113113,8.78,1-10 km,major_river_line,River_Net_l,RL36004151,ODRA OD STÁTNÍ HRANICE PO TOK OLŠE,BH140,CZ/PL,5.0,1,,8780.110674113113,8.78,River_Net_l,RL36004151,ODRA OD STÁTNÍ HRANICE PO TOK OLŠE,21037.483412302583,21.037,Canals_l,CL36022977,,,,,,,,,,,0,,,,,,,,,158536.242932,Biomass; Coal; DUST; LCPCharacteristics; Lignite; LiquidFuels; NOX; NaturalGas; OtherGases; OtherSolidFuels; Peat; SO2,MW; TJ; hours; tonnes,,,,
CZ.EEA/CZ0047981E.FACILITY,CZ.EEA/CZ0047981E.FACILITY,"ZLATNÍK, družstvo umělecké výroby",Ostrava,Czechia,18.297649166666,49.792621944444,2011,2011,1,1,waste_transfers,7096.759825327437,7.097,1-10 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,7096.759825327437,7.097,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,13338.41746394876,13.338,Canals_l,CL36022977,,,,,,,,2.0,Production and processing of metals,2(f),0,,,,,,6.62,Disposal,HW,,,,,,,
CZ.EEA/CZ01133759.FACILITY,CZ.EEA/CZ01133759.FACILITY,GALVAN CZ s.r.o.,Vítkovice,Czechia,18.26961606944445,49.801765969444446,2009,2012,3,3,waste_transfers,4920.523775419599,4.921,1-10 km,major_river_line,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,BH140,CZ,5.0,1,,4920.523775419599,4.921,River_Net_l,RL36003872,ODRA OD TOKU OPAVA PO TOK OSTRAVICE,11276.10226988614,11.276,Canals_l,CL36022977,,,,,,,,2.0,Production and processing of metals,2(f),0,,,,,,65.66,Disposal,HW,,,,,,,
