facility_key,facility_id,facility_name,city,country_name,longitude,latitude,first_year,latest_year,reporting_year_count,source_record_count,source_tables,distance_to_oder_hydro_boundary_m,distance_to_oder_hydro_boundary_km,distance_class,nearest_hydro_entity_type,nearest_hydro_source_layer,nearest_hydro_entity_id,nearest_hydro_entity_name,nearest_hydro_dfdd,nearest_hydro_rex,nearest_hydro_strahler,nearest_hydro_mc,nearest_hydro_basin_district,distance_to_major_river_line_m,distance_to_major_river_line_km,nearest_major_river_line_source_layer,nearest_major_river_line_id,nearest_major_river_line_name,distance_to_canal_line_m,distance_to_canal_line_km,nearest_canal_line_source_layer,nearest_canal_line_id,nearest_canal_line_name,distance_to_coastal_polygon_m,distance_to_coastal_polygon_km,nearest_coastal_polygon_source_layer,nearest_coastal_polygon_id,nearest_coastal_polygon_name,feature_ids,sector_codes,sector_names,annex_activities,pollutant_count,pollutants,latest_pollutants,air_release_total,water_release_total,pollutant_transfer_total,waste_transfer_total,waste_treatments,waste_classifications,lcp_feature_value_total,lcp_feature_types,lcp_units,ied_statuses,ied_activity_names,bat_conclusions,wi_cowi_capacity_total,matched_pollutants,first_water_release_reporting_year,latest_water_release_reporting_year,water_chlorine_chloride_record_count,water_chlorine_chloride_amount_total
PL.MŚ/000003020.FACILITY,PL.MŚ/000003020.FACILITY,Zakład Wodociągów i Kanalizacji /oczyszczalnia ścieków/,Stargard Szczeciński,Poland,15.0443925857544,53.3517913818359,2007,2024,17,39,water_releases; waste_transfers; ied_installations,264.05930138749227,0.264,100 m - 1 km,major_river_line,River_Net_l,RL36016007,"INA OD KRĘPIELI DO DOPŁYWU SPOD MARSZEWA, BEZ DOPŁYWU SPOD MARSZEWA",BH140,PL,5.0,1.0,,264.05930138749227,0.264,River_Net_l,RL36016007,"INA OD KRĘPIELI DO DOPŁYWU SPOD MARSZEWA, BEZ DOPŁYWU SPOD MARSZEWA",30503.76137167541,30.504,Canals_l,CL36022994,,,,,,,PL.MŚ/000003650.INSTALLATION,5.0,Waste and wastewater management,5(f),10,Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chlorides (as total Cl); Copper and compounds (as Cu); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Total nitrogen; Total phosphorus; Zinc and compounds (as Zn),Arsenic and compounds (as As); Copper and compounds (as Cu); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Zinc and compounds (as Zn),,4677712.57,,166577.1,Disposal; Recovery,HW; NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl),2010,2010,1,3800000.0
PL.MŚ/000003047.FACILITY,PL.MŚ/000003047.FACILITY,AQUANET Spółka Akcyjna Lewobrzeżna Oczyszczalnia Ścieków,Poznań,Poland,16.9593734741211,52.4307899475098,2010,2024,15,34,water_releases; waste_transfers; ied_installations,300.34163336238026,0.3,100 m - 1 km,major_river_line,River_Net_l,RL36020171,WARTA OD CYBINY DO RÓŻANEGO POTOKU,BH140,PL,6.0,1.0,,300.34163336238026,0.3,River_Net_l,RL36020171,WARTA OD CYBINY DO RÓŻANEGO POTOKU,29568.010191340432,29.568,Canals_l,CL36022926,,,,,,,PL.MŚ/000003677.INSTALLATION,5.0,Waste and wastewater management,5(f),13,Arsenic and compounds (as As); Chlorides (as total Cl); Copper and compounds (as Cu); Fluorides (as total F); Halogenated organic compounds (as AOX); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Nonylphenol and Nonylphenol ethoxylates; Phenols (as total C); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Zinc and compounds (as Zn),Arsenic and compounds (as As); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Phenols (as total C); Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),,30171681.8,,183104.0,Disposal; Recovery,NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl),2011,2021,11,26470000.0
PL.MŚ/000003460.FACILITY,PL.MŚ/000003460.FACILITY,Oczyszczalnia Ścieków,Głogów,Poland,16.056640625,51.672191619873,2007,2024,18,32,water_releases; waste_transfers; ied_installations,312.62361393550947,0.313,100 m - 1 km,major_river_line,River_Net_l,RL36002155,ODRA OD KANAŁU WSCHODNIEGO DO CZARNEJ STRUGI,BH140,PL,6.0,1.0,,312.62361393550947,0.313,River_Net_l,RL36002155,ODRA OD KANAŁU WSCHODNIEGO DO CZARNEJ STRUGI,37994.202075897214,37.994,Canals_l,CL36022927,,,,,,,PL.MŚ/000004090.INSTALLATION,5.0,Waste and wastewater management,5(f),21,Arsenic and compounds (as As); Benzene; Cadmium and compounds (as Cd); Copper and compounds (as Cu); Di-(2-ethyl hexyl) phthalate (DEHP); Dichloromethane (DCM); Diuron; Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Nonylphenol and Nonylphenol ethoxylates; Phenols (as total C); Tetrachloroethylene; Tetrachloromethane (TCM); Toluene; Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Trichloromethane; Xylenes; Zinc and compounds (as Zn),Di-(2-ethyl hexyl) phthalate (DEHP); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC),,889655.91,,114850.0,Disposal; Recovery,NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Dichloromethane (DCM); Tetrachloroethylene; Tetrachloromethane (TCM); Trichloromethane,2008,2011,4,60.269999999999996
PL.MŚ/000003043.FACILITY,PL.MŚ/000003043.FACILITY,Oczyszczalnia Ścieków - część A,Opole,Poland,17.9078159332275,50.6766586303711,2007,2024,18,42,water_releases; waste_transfers; ied_installations,323.3540501925863,0.323,100 m - 1 km,major_river_line,River_Net_l,RL36006321,KANAŁ ULGI W OPOLU,BH140,PL,5.0,1.0,,323.3540501925863,0.323,River_Net_l,RL36006321,KANAŁ ULGI W OPOLU,38859.89994781967,38.86,Canals_l,CL36022948,,,,,,,PL.MŚ/000003673.INSTALLATION,5.0,Waste and wastewater management,5(f),16,Cadmium and compounds (as Cd); Chlorides (as total Cl); Chromium and compounds (as Cr); Copper and compounds (as Cu); Fluorides (as total F); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Octylphenols and Octylphenol ethoxylates; Phenols (as total C); Tetrachloroethylene; Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Tributyltin and compounds; Zinc and compounds (as Zn),Fluorides (as total F); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC),,9326624.9,,269319.6698,Disposal; Recovery,HW; NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl); Tetrachloroethylene,2007,2017,4,4340067.2
PL.MŚ/000000108.FACILITY,PL.MŚ/000000108.FACILITY,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,Kędzierzyn-Koźle,Poland,18.2594203948975,50.303394317627,2007,2024,17,59,air_releases; water_releases; waste_transfers; ied_installations,521.3091517291031,0.521,100 m - 1 km,canal_line,Canals_l,CL36022987,,BH020,PL,-9999.0,,,3266.227886834861,3.266,River_Net_l,RL36005141,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,521.3091517291031,0.521,Canals_l,CL36022987,,,,,,,PL.MŚ/000000174.INSTALLATION; PL.MŚ/000000182.INSTALLATION; PL.MŚ/000000177.INSTALLATION,4.0,Chemical industry,4(c),22,Ammonia (NH3); Arsenic and compounds (as As); Benzene; Carbon dioxide (CO2); Carbon monoxide (CO); Chlorides (as total Cl); Chlorine and inorganic compounds (as HCl); Chromium and compounds (as Cr); Copper and compounds (as Cu); Di-(2-ethyl hexyl) phthalate (DEHP); Fluorine and inorganic compounds (as HF); Lead and compounds (as Pb); Mercury and compounds (as Hg); Methane (CH4); Naphthalene; Nitrogen oxides (NOX); Nitrous oxide (N2O); Particulate matter (PM10); Sulphur oxides (SOX); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),Ammonia (NH3); Carbon dioxide (CO2); Methane (CH4); Nitrogen oxides (NOX); Nitrous oxide (N2O); Particulate matter (PM10); Sulphur oxides (SOX); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),15114599119.5,5543216.0,,1591595.76,Disposal; Recovery,HW; NONHW,,,,functional,"Combustion of fuels in installations with a total rated thermal input of 50 MW or more; Independently operated treatment of waste water not covered by Directive 91/271/EEC and discharged by an installation covered by Chapter II of Directive 2010/75/EU; Landfills, as defined in Article 2(g) of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste, receiving more than 10 tonnes of waste per day or with a total capacity exceeding 25,000 tonnes, excluding landfills of inert waste",CWW; LCP; NOBATCAPPLICABLE,,Chlorides (as total Cl),2015,2015,1,2280000.0
PL.MŚ/000002145.FACILITY,PL.MŚ/000002145.FACILITY,"AQUANET Spółka Akcyjna, Centralna Oczyszczalnia Ścieków",Koziegłowy,Poland,16.9829177856445,52.4493713378906,2007,2024,18,40,water_releases; waste_transfers; ied_installations,586.1278395043374,0.586,100 m - 1 km,major_river_line,River_Net_l,RL36020234,WARTA OD CYBINY DO RÓŻANEGO POTOKU,BH140,PL,6.0,1.0,,586.1278395043374,0.586,River_Net_l,RL36020234,WARTA OD CYBINY DO RÓŻANEGO POTOKU,32175.46391015302,32.175,Canals_l,CL36022926,,,,,,,PL.MŚ/000002775.INSTALLATION,5.0,Waste and wastewater management,5(f),23,"Arsenic and compounds (as As); Benzo(g,h,i)perylene; Chlorides (as total Cl); Chromium and compounds (as Cr); Copper and compounds (as Cu); Cyanides (as total CN); Di-(2-ethyl hexyl) phthalate (DEHP); Dichloromethane (DCM); Diuron; Fluorides (as total F); Halogenated organic compounds (as AOX); Hexachlorobenzene (HCB); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Phenols (as total C); Toluene; Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Tributyltin and compounds; Triphenyltin and compounds; Zinc and compounds (as Zn)",Arsenic and compounds (as As); Chlorides (as total Cl); Copper and compounds (as Cu); Halogenated organic compounds (as AOX); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Phenols (as total C); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Zinc and compounds (as Zn),,140291317.18,,1275500.0,Disposal; Recovery,NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl); Dichloromethane (DCM); Hexachlorobenzene (HCB),2007,2024,18,121060052.8
PL.MŚ/000002645.FACILITY,PL.MŚ/000002645.FACILITY,Oczyszczalnia scieków,Świnoujście,Poland,14.2452783584595,53.8919448852539,2008,2024,17,36,water_releases; waste_transfers; ied_installations,662.1608821959414,0.662,100 m - 1 km,major_river_line,River_Net_l,RL36017968,ZALEW SZCZECIŃSKI,BH140,PL,5.0,1.0,,662.1608821959414,0.662,River_Net_l,RL36017968,ZALEW SZCZECIŃSKI,43723.45619181261,43.723,Canals_l,CL36022983,,3450.4452020366566,3.45,Coastal_p,CO36000001,PLCWIIIWB9,PL.MŚ/000003275.INSTALLATION,5.0,Waste and wastewater management,5(f),12,Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chlorides (as total Cl); Chromium and compounds (as Cr); Copper and compounds (as Cu); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Phenols (as total C); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),Copper and compounds (as Cu); Zinc and compounds (as Zn),,28655854.76,,62500.4361,Disposal; Recovery,HW; NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl),2011,2023,11,28250000.0
PL.MŚ/000003675.FACILITY,PL.MŚ/000003675.FACILITY,Polska Grupa Górnicza sp.zo.o KWK Ruda Ruch Halemba,Ruda Śląska,Poland,15.4822216033936,51.5741920471191,2007,2024,18,61,air_releases; water_releases; waste_transfers; ied_installations; pollutant_transfers,664.8014391232464,0.665,100 m - 1 km,major_river_line,River_Net_l,RL36001843,BÓBR OD BOBRZYCY DO KWISY,BH140,PL,5.0,1.0,,664.8014391232464,0.665,River_Net_l,RL36001843,BÓBR OD BOBRZYCY DO KWISY,34300.16429737998,34.3,Canals_l,CL36022992,,,,,,,PL.MŚ/000005240.INSTALLATION,3.0,Mineral industry,3(a),10,Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chlorides (as total Cl); Copper and compounds (as Cu); Hydro-fluorocarbons (HFCS); Lead and compounds (as Pb); Methane (CH4); Nickel and compounds (as Ni); Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),Arsenic and compounds (as As); Chlorides (as total Cl); Hydro-fluorocarbons (HFCS); Lead and compounds (as Pb); Methane (CH4); Nickel and compounds (as Ni),212790270.0,432318247.14,136.32999999999998,11796156.72,Disposal; Recovery,HW; NONHW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,,Chlorides (as total Cl),2007,2024,18,432100000.0
PL.MŚ/000002995.FACILITY,PL.MŚ/000002995.FACILITY,"Oczyszczalnia Ścieków ""WARTA"" S.A.- Centralna Oczyszczalnia Ścieków",Częstochowa,Poland,19.1639022827148,50.8198928833008,2007,2024,18,42,water_releases; waste_transfers; ied_installations,769.111122713546,0.769,100 m - 1 km,major_river_line,River_Net_l,RL36007181,WARTA OD ZBIORNIKA PORAJ DO CIEKU SPOD RUDNIK,BH140,PL,5.0,1.0,,769.111122713546,0.769,River_Net_l,RL36007181,WARTA OD ZBIORNIKA PORAJ DO CIEKU SPOD RUDNIK,25283.1588522108,25.283,Canals_l,CL36022975,,,,,,,PL.MŚ/000003625.INSTALLATION,5.0,Waste and wastewater management,5(f),14,Cadmium and compounds (as Cd); Chlorides (as total Cl); Chromium and compounds (as Cr); Copper and compounds (as Cu); Lead and compounds (as Pb); Mercury and compounds (as Hg); Nickel and compounds (as Ni); Phenols (as total C); Tetrachloroethylene; Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Trichloroethylene (TRI); Zinc and compounds (as Zn),Chlorides (as total Cl); Chromium and compounds (as Cr); Lead and compounds (as Pb); Nickel and compounds (as Ni); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Zinc and compounds (as Zn),,20163103.93,,149534.633,Disposal; Recovery,HW; NONHW,,,,functional,Disposal of non-hazardous waste with a capacity exceeding 50 tonnes per day involving one or more of the following activities.,BATCNOTYETADOPTED,,Chlorides (as total Cl); Tetrachloroethylene; Trichloroethylene (TRI),2007,2024,10,14570419.7
PL.MŚ/000003674.FACILITY,PL.MŚ/000003674.FACILITY,PCC Rokita S.A.,Brzeg Dolny,Poland,16.7353744506836,51.2689208984375,2007,2024,18,60,air_releases; water_releases; waste_transfers; ied_installations,999.8326995322556,1.0,100 m - 1 km,major_river_line,River_Net_l,RL36008203,ODRA OD WAŁÓW ŚLĄSKICH DO KANAŁU WSCHODNIEGO,BH140,PL,6.0,1.0,,999.8326995322556,1.0,River_Net_l,RL36008203,ODRA OD WAŁÓW ŚLĄSKICH DO KANAŁU WSCHODNIEGO,,,,,,,,,,,PL.MŚ/000003043.INSTALLATION; PL.MŚ/000003047.INSTALLATION; PL.MŚ/000003037.INSTALLATION; PL.MŚ/000003045.INSTALLATION; PL.MŚ/000003042.INSTALLATION,4.0,Chemical industry,4(a),44,"1,2-dichloroethane (DCE-1,2); Aldrin; Ammonia (NH3); Arsenic and compounds (as As); Benzene; Cadmium and compounds (as Cd); Carbon dioxide (CO2); Chlorides (as total Cl); Chlorine and inorganic compounds (as HCl); Chlorofluorocarbons (CFCs); Chromium and compounds (as Cr); Copper and compounds (as Cu); Di-(2-ethyl hexyl) phthalate (DEHP); Dieldrin; Endrin; Ethylene oxide; Fluoranthene; Halogenated organic compounds (as AOX); Hexachlorobenzene (HCB); Hydro-fluorocarbons (HFCS); Hydrochlorofluorocarbons (HCFCs); Isodrin; Lead and compounds (as Pb); Mercury and compounds (as Hg); Naphthalene; Nickel and compounds (as Ni); Nitrogen oxides (NOX); Non-methane volatile organic compounds (NMVOC); Nonylphenol and Nonylphenol ethoxylates; Octylphenols and Octylphenol ethoxylates; PCDD + PCDF (dioxins + furans) (as Teq); Particulate matter (PM10); Phenols (as total C); Polycyclic aromatic hydrocarbons (PAHs); Sulphur oxides (SOX); Tetrachloroethylene; Tetrachloromethane (TCM); Total nitrogen; Total organic carbon(as total C or COD/3) (TOC); Total phosphorus; Trichlorobenzenes (TCB); Trichloroethylene (TRI); Trichloromethane; Zinc and compounds (as Zn)",Carbon dioxide (CO2); Chlorides (as total Cl); Halogenated organic compounds (as AOX); Mercury and compounds (as Hg); Nitrogen oxides (NOX); Total organic carbon(as total C or COD/3) (TOC); Trichlorobenzenes (TCB); Trichloromethane; Zinc and compounds (as Zn),3043832458.7107,877064833.63,,1734249.26,Disposal; Recovery,HW; NONHW,,,,functional,"Combustion of fuels in installations with a total rated thermal input of 50 MW or more; Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving biological treatment; Production of inorganic chemicals: gases, such as ammonia, chlorine or hydrogen chloride, fluorine or hydrogen fluoride, carbon oxides, sulphur compounds, nitrogen oxides, hydrogen, sulphur dioxide, carbonyl chloride; Production of organic chemicals: oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters and mixtures of esters, acetates, ethers, peroxides and epoxy resins; Production of organic chemicals: simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic); Production of organic chemicals: sulphurous hydrocarbons; Production of organic chemicals: surface-active agents and surfactants",BATCNOTYETADOPTED; NOBATCAPPLICABLE,,"1,2-dichloroethane (DCE-1,2); Chlorides (as total Cl); Hexachlorobenzene (HCB); Tetrachloroethylene; Tetrachloromethane (TCM); Trichlorobenzenes (TCB); Trichloroethylene (TRI); Trichloromethane",2007,2024,77,871608442.24
