facility_key,facility_id,facility_name,city,country_name,longitude,latitude,first_year,latest_year,reporting_year_count,source_record_count,source_tables,distance_to_oder_hydro_boundary_m,distance_to_oder_hydro_boundary_km,distance_class,nearest_hydro_entity_type,nearest_hydro_source_layer,nearest_hydro_entity_id,nearest_hydro_entity_name,nearest_hydro_dfdd,nearest_hydro_rex,nearest_hydro_strahler,nearest_hydro_mc,nearest_hydro_basin_district,distance_to_major_river_line_m,distance_to_major_river_line_km,nearest_major_river_line_source_layer,nearest_major_river_line_id,nearest_major_river_line_name,distance_to_canal_line_m,distance_to_canal_line_km,nearest_canal_line_source_layer,nearest_canal_line_id,nearest_canal_line_name,distance_to_coastal_polygon_m,distance_to_coastal_polygon_km,nearest_coastal_polygon_source_layer,nearest_coastal_polygon_id,nearest_coastal_polygon_name,feature_ids,sector_codes,sector_names,annex_activities,pollutant_count,pollutants,latest_pollutants,air_release_total,water_release_total,pollutant_transfer_total,waste_transfer_total,waste_treatments,waste_classifications,lcp_feature_value_total,lcp_feature_types,lcp_units,ied_statuses,ied_activity_names,bat_conclusions,wi_cowi_capacity_total
PL.EEA/02C_003551.FACILITY,PL.EEA/02C_003551.FACILITY,Huta Szkła TUR Sp. z o.o.,Tur,Poland,17.73148056,53.08303333,2013,2013,1,1,waste_transfers,51.379799276964135,0.051,0-100 m,major_river_line,River_Net_l,RL36021843,NOTEĆ OD GÓRNEGO KANAŁU NOTECI DO KANAŁU BYDGOSKIEGO,BH140,PL,5.0,1.0,,51.379799276964135,0.051,River_Net_l,RL36021843,NOTEĆ OD GÓRNEGO KANAŁU NOTECI DO KANAŁU BYDGOSKIEGO,5966.931617518189,5.967,Canals_l,CL36022973,,,,,,,,3.0,Mineral industry,3(e),0,,,,,,8.51,Disposal; Recovery,HW,,,,,,,
PL.MŚ/000003337.FACILITY,PL.MŚ/000003337.FACILITY,Zakład Produkcyjny Huta Szkła Tur - kocioł grzewczy,Tur,Poland,17.7313899993896,53.0830535888672,2019,2024,6,11,ied_installations; waste_transfers,51.87746304474659,0.052,0-100 m,major_river_line,River_Net_l,RL36021843,NOTEĆ OD GÓRNEGO KANAŁU NOTECI DO KANAŁU BYDGOSKIEGO,BH140,PL,5.0,1.0,,51.87746304474659,0.052,River_Net_l,RL36021843,NOTEĆ OD GÓRNEGO KANAŁU NOTECI DO KANAŁU BYDGOSKIEGO,5963.874482882986,5.964,Canals_l,CL36022973,,,,,,,PL.MŚ/000003967.INSTALLATION,3.0,Mineral industry,3(e),0,,,,,,2728.408,Disposal; Recovery,HW; NONHW,,,,functional,Manufacture of glass including glass fibre with a melting capacity exceeding 20 tonnes per day,GLS,
PL.MŚ/000000434.FACILITY,PL.MŚ/000000434.FACILITY,Ardagh Glass S.A.,Ujście,Poland,16.7233982086182,53.0547294616699,2007,2024,18,38,air_releases; waste_transfers; ied_installations,81.03180204025414,0.081,0-100 m,major_river_line,River_Net_l,RL36014797,NOTEĆ OD GWDY DO KANAŁU ROMANOWSKIEGO,BH140,PL,6.0,1.0,,81.03180204025414,0.081,River_Net_l,RL36014797,NOTEĆ OD GWDY DO KANAŁU ROMANOWSKIEGO,,,,,,,,,,,PL.MŚ/000000676.INSTALLATION,3.0,Mineral industry,3(e),7,Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chromium and compounds (as Cr); Hydrochlorofluorocarbons (HCFCs); Lead and compounds (as Pb); Nitrogen oxides (NOX); Particulate matter (PM10),Lead and compounds (as Pb),3925369.6,,,11784.75,Disposal; Recovery,HW; NONHW,,,,functional,Manufacture of glass including glass fibre with a melting capacity exceeding 20 tonnes per day,GLS,
PL.EEA/15P003179.FACILITY,PL.EEA/15P003179.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A, Odział w Zielonej Górze, Podziemny Magazyn Gazu Bonikowo",Kokorzyn,Poland,16.553863,52.114532,2010,2016,7,7,air_releases; waste_transfers,204.897707300206,0.205,100 m - 1 km,canal_line,Canals_l,CL36022966,,BH020,PL,-9999.0,,,26837.97315797811,26.838,River_Net_l,RL36019594,WARTA OD PYSZĄCEJ DO KOPLI,204.897707300206,0.205,Canals_l,CL36022966,,,,,,,,3.0,Mineral industry,3(a),1,Methane (CH4),Methane (CH4),107000.0,,,64.812,Disposal; Recovery,HW,,,,,,,
PL.MŚ/000003710.FACILITY,PL.MŚ/000003710.FACILITY,Podziemny Magazyn Gazu Bonikowo,Kokorzyn,Poland,16.5537662506104,52.1144981384277,2019,2024,6,17,waste_transfers; ied_installations,207.2752645824356,0.207,100 m - 1 km,canal_line,Canals_l,CL36022966,,BH020,PL,-9999.0,,,26845.59406421261,26.846,River_Net_l,RL36019594,WARTA OD PYSZĄCEJ DO KOPLI,207.2752645824356,0.207,Canals_l,CL36022966,,,,,,,PL.MŚ/000003875.INSTALLATION; PL.MŚ/000005281.INSTALLATION,3.0,Mineral industry,3(a),0,,,,,,100.24,Disposal; Recovery,HW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
PL.EEA/08O001886.FACILITY,PL.EEA/08O001886.FACILITY,"Opolskie Kopalnie Surowców Mineralnych Sp. z o.o., Kopalnia Surowców Mineralnych ""Wójcice""",Wójcice,Poland,17.223496,50.45519,2014,2014,1,1,waste_transfers,277.6125072423381,0.278,100 m - 1 km,major_river_line,River_Net_l,RL36005385,PLRW6000012599,BH140,PL,5.0,1.0,,277.6125072423381,0.278,River_Net_l,RL36005385,PLRW6000012599,,,,,,,,,,,,3.0,Mineral industry,3(b),0,,,,,,3.951,Disposal; Recovery,HW,,,,,,,
PL.MŚ/000005293.FACILITY,PL.MŚ/000005293.FACILITY,PKN Orlen S.A. -Oddział PGNiG w Zielonej Górze   OG Kamień Mały,Słońsk,Poland,14.845438,52.581769,2022,2022,1,1,waste_transfers,301.93373916094225,0.302,100 m - 1 km,major_river_line,River_Net_l,RL36012284,,BH140,PL,7.0,1.0,,301.93373916094225,0.302,River_Net_l,RL36012284,,5216.316696769493,5.216,Canals_l,CL36022968,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,2.29,Disposal,HW,,,,,,,
PL.MŚ/000003195.FACILITY,PL.MŚ/000003195.FACILITY,Kopalnia Gazu Ziemnego Kościan-Brońsko,Kokorzyn,Poland,16.592083025279614,52.1144981384277,2019,2024,6,10,waste_transfers; ied_installations,330.9230261510946,0.331,100 m - 1 km,canal_line,Canals_l,CL36022961,,BH020,PL,-9999.0,,,24600.17906195923,24.6,River_Net_l,RL36019594,WARTA OD PYSZĄCEJ DO KOPLI,330.9230261510946,0.331,Canals_l,CL36022961,,,,,,,PL.MŚ/000003825.INSTALLATION,3.0,Mineral industry,3(a),0,,,,,,275.74,Disposal; Recovery,HW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
PL.MŚ/000000067.FACILITY,PL.MŚ/000000067.FACILITY,"CEMENTOWNIA ""WARTA"" SPÓŁKA AKCYJNA",TRĘBACZEW,Poland,18.9263877868652,51.1030540466309,2007,2024,18,52,air_releases; waste_transfers; ied_installations; ied_wi_cowi,349.9883821945867,0.35,100 m - 1 km,major_river_line,River_Net_l,RL36008159,WARTA OD LISWARTY DO GRABARKI,BH140,PL,5.0,1.0,,349.9883821945867,0.35,River_Net_l,RL36008159,WARTA OD LISWARTY DO GRABARKI,40959.22976159144,40.959,Canals_l,CL36022940,,,,,,,PL.MŚ/000000101.INSTALLATION; PL.MŚ/000000050.PART,3.0,Mineral industry,3(c),13,Ammonia (NH3); Carbon dioxide (CO2); Carbon monoxide (CO); Chlorine and inorganic compounds (as HCl); Di-(2-ethyl hexyl) phthalate (DEHP); Mercury and compounds (as Hg); Nitrogen oxides (NOX); Nitrous oxide (N2O); Non-methane volatile organic compounds (NMVOC); PCDD + PCDF (dioxins + furans) (as Teq); Particulate matter (PM10); Polycyclic aromatic hydrocarbons (PAHs); Sulphur oxides (SOX),Ammonia (NH3); Carbon dioxide (CO2); Carbon monoxide (CO); Chlorine and inorganic compounds (as HCl); Mercury and compounds (as Hg); Nitrogen oxides (NOX),25582393144.40511,,,216298.08,Disposal; Recovery,HW; NONHW,,,,functional,Production of cement clinker in rotary kilns with a production capacity exceeding 500 tonnes per day or in other kilns with a production capacity exceeding 50 tonnes per day,CLM; NOBATCAPPLICABLE,30.0
PL.MŚ/000003301.FACILITY,PL.MŚ/000003301.FACILITY,Kopalnia Gazu Ziemnego Radlin - Ośrodek Grupowy Lisewo - kotłownia zakładowa,Lisewo,Poland,17.6760520935059,52.0982971191406,2019,2024,6,8,ied_installations; waste_transfers,535.0979765073492,0.535,100 m - 1 km,major_river_line,River_Net_l,RL36019374,PROSNA OD DOPŁYWU Z PIĄTKA MAŁEGO DO UJŚCIA,BH140,PL,5.0,1.0,,535.0979765073492,0.535,River_Net_l,RL36019374,PROSNA OD DOPŁYWU Z PIĄTKA MAŁEGO DO UJŚCIA,41133.2441471233,41.133,Canals_l,CL36022978,,,,,,,PL.MŚ/000003931.INSTALLATION,3.0,Mineral industry,3(a),0,,,,,,11.18,Disposal; Recovery,HW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
